PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,MONTH
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ABQ,LBB,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACT,COU,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACY,CHA,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACY,CMH,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACY,DAY,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACY,GPT,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACY,GSP,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACY,PHL,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACY,PVD,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACY,SDF,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ACY,TYS,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,BMI,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,GSO,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,SDF,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,TUP,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AHN,FOE,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ATL,CMH,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ATL,GNV,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",ATL,SCE,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZA,614,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZA,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,BFI,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,BTR,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,HRL,614,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,HRL,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,IFP,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,LAX,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,LGB,614,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,MIA,614,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,MIA,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,MIA,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,OAK,614,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,PHX,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,SLC,614,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZO,CVG,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BDL,BED,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BED,GSO,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BED,MIA,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BED,PHL,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BED,RDU,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BED,SDF,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BFI,MIA,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BFI,PDX,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BFI,SFO,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BHM,AEX,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BIF,AEX,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BIF,SAT,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BJC,LAX,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BMG,TLH,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BMI,IFP,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BMI,MEM,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BMI,STL,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BMI,TUS,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BNA,PHL,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BNA,XNA,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BOS,FRG,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTR,DFW,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTR,DTW,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTR,HRL,619,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTR,PVD,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTR,SYR,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTR,TLH,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BUF,BMG,617,1
0.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BUF,IAD,617,1
