UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH
02Q,Titan Airways,ISP,NY,JFK,NY,721,9
02Q,Titan Airways,JFK,NY,ISP,NY,721,9
04Q,Tradewind Aviation,6B0,VT,BDL,CT,479,9
04Q,Tradewind Aviation,ABQ,NM,MLI,IL,646,9
04Q,Tradewind Aviation,ACK,MA,BED,MA,479,9
04Q,Tradewind Aviation,ACK,MA,BED,MA,646,9
04Q,Tradewind Aviation,ACK,MA,BLM,NJ,479,9
04Q,Tradewind Aviation,ACK,MA,BOS,MA,479,9
04Q,Tradewind Aviation,ACK,MA,DXR,CT,479,9
04Q,Tradewind Aviation,ACK,MA,FOK,NY,479,9
04Q,Tradewind Aviation,ACK,MA,FRG,NY,479,9
04Q,Tradewind Aviation,ACK,MA,GAI,MD,479,9
04Q,Tradewind Aviation,ACK,MA,HFD,CT,479,9
04Q,Tradewind Aviation,ACK,MA,HPN,NY,479,9
04Q,Tradewind Aviation,ACK,MA,HPN,NY,479,9
04Q,Tradewind Aviation,ACK,MA,JFK,NY,479,9
04Q,Tradewind Aviation,ACK,MA,LEB,NH,479,9
04Q,Tradewind Aviation,ACK,MA,MMU,NJ,479,9
04Q,Tradewind Aviation,ACK,MA,NJ4,NJ,479,9
04Q,Tradewind Aviation,ACK,MA,OWD,MA,479,9
04Q,Tradewind Aviation,ACK,MA,PBI,FL,479,9
04Q,Tradewind Aviation,ACK,MA,PNE,PA,479,9
04Q,Tradewind Aviation,ACK,MA,PSF,MA,479,9
04Q,Tradewind Aviation,ACK,MA,PWM,ME,479,9
04Q,Tradewind Aviation,ACK,MA,RKD,ME,479,9
04Q,Tradewind Aviation,ACK,MA,TEB,NJ,479,9
04Q,Tradewind Aviation,ACK,MA,UXO,MA,479,9
04Q,Tradewind Aviation,AUG,ME,MVL,VT,479,9
04Q,Tradewind Aviation,BAF,MA,HTO,NY,479,9
